"","x"
"1","Alicyclobacillus.01"
"2","Atopobium.02"
"3","C.Gammaproteobacteria.01"
"4","C.Gammaproteobacteria.02"
"5","C.Gammaproteobacteria.03"
"6","C.Gammaproteobacteria.04"
"7","C.Gammaproteobacteria.05"
"8","C.Gammaproteobacteria.06"
"9","C.Gammaproteobacteria.07"
"10","C.Gammaproteobacteria.08"
"11","C.Gammaproteobacteria.09"
"12","C.Gammaproteobacteria.10"
"13","C.Gammaproteobacteria.11"
"14","Carnobacterium.01"
"15","Corynebacterium.01"
"16","Corynebacterium.02"
"17","F.Alcaligenaceae.01"
"18","F.Burkholderiaceae.01"
"19","F.Burkholderiaceae.02"
"20","F.Comamonadaceae.01"
"21","F.Enterobacteriaceae.01"
"22","F.Prevotellaceae.02"
"23","F.Prevotellaceae.03"
"24","F.Pseudomonadaceae.01"
"25","F.Pseudomonadaceae.02"
"26","F.Rhodocyclaceae.01"
"27","F.Xanthomonadaceae.01"
"28","Gp2.01"
"29","Gp2.02"
"30","Lactobacillus.01"
"31","Marinobacter.01"
"32","O.Actinomycetales.02"
"33","O.Burkholderiales.01"
"34","Peptoniphilus.01"
"35","Propionibacterium.01"
"36","Propionibacterium.02"
"37","Pseudomonas.01"
"38","Pseudomonas.02"
"39","Ralstonia.01"
"40","Staphylococcus.01"
"41","Sulfuricurvum.01"
"42","TM7_genus_incertae_sedis.02"
"43","TM7_genus_incertae_sedis.05"
"44","TM7_genus_incertae_sedis.08"
